FIGHTER,STRIKES,TD_ATTEMPT,SUB_ATTEMPT,WINNER
Kyle Prepolec,44,0,0,0
Khabib Nurmagomedov,22,7,2,1
Dustin Poirier,12,0,1,0
Paul Felder,56,0,0,1
Edson Barboza,60,1,0,0
Islam Makhachev,43,0,0,1
Davi Ramos,7,0,0,0
Curtis Blaydes,25,5,0,1
Shamil Abdurakhimov,3,0,0,0
Diego Ferreira,109,0,0,1
Mairbek Taisumov,51,0,0,0
Joanne Calderwood,101,2,0,1
Andrea Lee,61,3,0,0
Zubaira Tukhugov,22,6,0,1
Lerone Murphy,28,0,2,0
Sarah Moras,44,0,1,1
Liana Jojua,19,2,0,0
Ottman Azaitar,27,0,0,1
Teemu Packalen,8,0,0,0
Belal Muhammad,49,2,1,1
Takashi Sato,29,1,0,0
Muslim Salikhov,10,0,0,1
Nordine Taleb,6,0,0,0
Omari Akhmedov,26,2,0,1
Zak Cummings,17,0,0,0
Don Madge,21,3,0,1
Fares Ziam,10,0,0,0
Weili Zhang,29,0,0,1
Jessica Andrade,4,0,0,0
Jingliang Li,59,2,0,1
Elizeu Zaleski dos Santos,54,0,0,0
Kai Kara-France,91,1,0,1
Mark De La Rosa,60,1,0,0
Kenan Song,58,0,0,1
Derrick Krantz,33,3,1,0
Mizuki Inoue,93,0,0,1
Yanan Wu,123,0,0,0
Anthony Hernandez,59,6,1,1
Junyong Park,81,0,0,0
Su Mudaerji,93,1,0,1
Andre Soukhamthath,23,0,0,0
Da-Un Jung,81,0,1,1
Khadis Ibragimov,88,1,0,0
Damir Ismagulov,71,0,0,1
Thiago Moises,36,0,0,0
Heili Alateng,36,3,0,1
Danaa Batgerel,85,0,0,0
Karol Rosa,171,0,0,1
Lara Procopio,165,0,0,0
Stipe Miocic,123,1,0,1
Daniel Cormier,181,1,0,0
Nate Diaz,114,1,0,1
Anthony Pettis,69,0,1,0
Paulo Costa,118,0,0,1
Yoel Romero,125,1,0,0
Sodiq Yusuff,34,0,0,1
Gabriel Benitez,24,0,0,0
Derek Brunson,81,2,0,1
Ian Heinisch,58,0,0,0
Khama Worthy,21,0,0,1
Devonte Smith,15,0,0,0
Cory Sandhagen,62,0,0,1
Raphael Assuncao,45,4,0,0
Drakkar Klose,99,2,0,1
Christos Giagos,87,2,1,0
Casey Kenney,43,2,1,1
Manny Bermudez,37,3,0,0
Hannah Cifers,70,1,1,1
Jodie Esquibel,43,3,0,0
Kyung Ho Kang,50,3,0,1
Brandon Davis,77,1,0,0
Sabina Mazo,108,4,0,1
Shana Dobson,33,0,0,0
Valentina Shevchenko,42,1,0,1
Liz Carmouche,18,0,0,0
Vicente Luque,84,0,1,1
Mike Perry,87,0,0,0
Eduardo Garagorri,65,1,0,1
Humberto Bandenay,32,4,0,0
Volkan Oezdemir,64,0,0,1
Ilir Latifi,18,1,0,0
Rodolfo Vieira,18,3,1,1
Oskar Piechota,22,0,0,0
Enrique Barzola,83,3,0,1
Bobby Moffett,90,0,0,0
Gilbert Burns,42,3,0,1
Aleksei Kunchenko,47,0,0,0
Ciryl Gane,15,0,1,1
Raphael Pessoa,7,0,0,0
Marina Rodriguez,84,1,1,1
Tecia Torres,41,0,0,0
Rogerio Bontorin,8,2,0,1
Raulian Paiva,3,0,0,0
Chris Gutierrez,48,1,0,1
Geraldo de Freitas,40,2,0,0
Alex Da Silva,17,3,0,1
Kazula Vargas,20,0,0,0
Veronica Macedo,1,0,1,1
Polyana Viana,1,1,0,0
Colby Covington,179,10,0,1
Robbie Lawler,78,0,0,0
Jim Miller,2,0,1,1
Clay Guida,2,0,0,0
Nasrat Haqparast,21,0,0,1
Joaquim Silva,15,0,0,0
Gerald Meerschaert,6,1,1,1
Trevin Giles,8,1,0,0
Scott Holtzman,44,1,0,1
Dong Hyun Ma,16,1,0,0
Kennedy Nzechukwu,50,0,0,1
Darko Stosic,60,4,0,0
Mickey Gall,50,1,0,1
Salim Touahri,48,0,0,0
Antonina Shevchenko,16,0,3,1
Lucie Pudilova,6,1,0,0
Matt Schnell,3,0,1,1
Jordan Espinosa,5,0,0,0
Lauren Murphy,24,0,0,1
Mara Romero Borella,22,1,0,0
Claudio Silva,32,1,1,1
Cole Williams,2,0,0,0
Miranda Granger,61,0,0,1
Hannah Goldy,55,0,0,0
Max Holloway,129,0,0,1
Frankie Edgar,96,1,0,0
Cris Cyborg,122,0,0,1
Felicia Spencer,38,0,0,0
Geoff Neal,41,2,0,1
Niko Price,24,0,0,0
Arman Tsarukyan,47,2,0,1
Olivier Aubin-Mercier,23,0,0,0
Krzysztof Jotko,40,1,0,1
Marc-Andre Barriault,39,1,0,0
Viviane Araujo,67,2,0,1
Alexis Davis,68,0,0,0
Hakeem Dawodu,80,0,0,1
Yoshinori Horie,39,0,0,0
Gavin Tucker,37,5,2,1
SeungWoo Choi,23,2,0,0
Deiveson Figueiredo,67,2,0,1
Alexandre Pantoja,61,2,0,0
Gillian Robertson,29,2,0,1
Sarah Frota,9,0,0,0
Erik Koch,37,4,0,1
Kyle Stewart,23,0,0,0
Leon Edwards,92,3,0,1
Rafael Dos Anjos,81,0,0,0
Walt Harris,4,0,0,1
Aleksei Oleinik,1,0,0,0
Greg Hardy,36,0,0,1
